grb,ra,dec,err
GRB 150831A , 14:44:05.82 , -25:38:06.5 , 1.6 
GRB 150821A , 22:47:39.15 , -57:53:38.2 , 1.4 
GRB 150819A , 02:49:19.95 , +09:48:26.8 , 1.5 
GRB 150818A , 15:21:25.41 , +68:20:31.1 , 1.6 
GRB 150817A , 16:38:31.47 , -12:03:10.5 , 1.4 
GRB 150811A , 19:25:21.39 , -15:25:30.8 , 1.5 
GRB 150801B , 05:31:51.88 , -05:23:21.5 , 1.4 
GRB 150801A , NO POSITION ,,
GRB 150728A , 19:28:55.14 , +33:54:56.7 , 5.3 
GRB 150727A , 13:35:52.50 , -18:19:32.5 , 1.7 
GRB 150724B , 23:27:33.90 , +03:49:06.4 , 2.3 
GRB 150724A , 06:30:14.48 , -19:09:51.9 , 1.6 
GRB 150722A , 14:33:06.72 , -35:11:45.1 , 1.4 
GRB 150720A , 07:58:19.52 , -28:15:44.8 , 1.7 
GRB 150716A , 18:33:57.01 , -12:58:47.3 , 4.1 
GRB 150711A , 14:46:30.37 , -35:27:22.1 , 1.5 
GRB 150710B , 05:32:52.46 , -46:56:31.5 , 2.5 
GRB 150710A , 12:57:53.02 , +14:19:05.4 , 3.5 
GRB 150702A , NO POSITION ,,
GRB 150627A , 07:49:52.96 , -51:29:22.5 , 1.4 
GRB 150626B , 12:30:32.04 , +66:46:18.7 , 1.7 
GRB 150626A , 07:25:20.84 , -37:46:50.5 , 1.5 
GRB 150622A , NO POSITION ,,
GRB 150622A , NO POSITION ,,
GRB 150622A , 16:49:49.57 , -52:51:00.3 , 4.0 
GRB 150622A , NO POSITION ,,
GRB 150616A , 20:58:52.02 , -53:23:38.1 , 1.4 
GRB 150615A , 07:10:15.53 , -22:26:56.4 , 1.5 
GRB 150608A , NO POSITION ,,
GRB 150608A , NO POSITION ,,
GRB 150608A , 00:52:40.10 , -00:38:39.3 , 3.6 
GRB 150607A , 09:19:57.24 , +68:26:09.6 , 1.4 
GRB 150530B , NO POSITION ,,
GRB 150530A , 21:50:02.96 , +57:30:59.9 , 1.6 
GRB 150527A , 19:15:50.32 , +04:12:07.0 , 1.5 
