grb,ra,dec
GRB131122A,10h10m13s,+57d44m
GRB131120A,18h35m41s,-12d00m
GRB131118A,23h19m27s,-66d50m
GRB131117A,22h09m21s,-31d43m
GRB131108A,10h25m53s,+09d54m
GRB131105A,04h44m03s,-62d59m
GRB131103A,23h15m49s,-44d40m
GRB131031A,01h58m28s,-01d36m
GRB131030A,23h00m19s,-05d23m
GRB131029A,13h23m08s,+48d18m
GRB131028A,04h04m54s,+71d36m
GRB131026A,01h02m11s,+32d29m
GRB131024B,09h37m37s,+44d14m
GRB131024A,19h21m51s,-64d36m
GRB131018B,20h18m06s,+23d04m
GRB131018A,06h33m51s,-19d53m
GRB131014A,06h41m12s,-19d06m
GRB131011A,01h27m41s,+09d33m
GRB131004A,19h44m36s,-02d58m
GRB131002B,05h00m15s,-75d44m
GRB131002A,16h53m06s,+82d03m
GRB131001A,00h33m12s,+25d33m
GRB130930A,12h42m39s,-35d30m
GRB130929A,09h00m17s,-47d34m
GRB130925A,02h44m44s,-26d08m
GRB130919A,13h49m09s,-10d21m
GRB130913A,22h47m50s,+01d18m
GRB130912A,03h10m28s,+13d58m
GRB130907A,14h23m31s,+45d37m
GRB130903A,05h28m33s,-00d07m
GRB130831B,12h49m47s,-29d11m
GRB130831A,23h54m36s,+29d27m
GRB130829A,12h09m42s,+46d31m
GRB130828A,17h19m19s,+28d00m
GRB130822A,01h51m46s,-03d13m
GRB130821A,20h56m24s,-12d00m
GRB130816B,11h20m22s,-57d33m
GRB130816A,13h08m40s,-58d57m
GRB130812B,00h29m37s,-79d11m
GRB130812A,06h09m37s,-13d18m
GRB130807A,17h59m12s,-27d37m
GRB130806A,02h23m29s,+67d32m
GRB130804A,20h14m37s,-79d35m
GRB130803A,14h40m58s,-02d28m
GRB130727A,22h03m12s,-65d34m
GRB130725B,14h16m58s,-11d08m
GRB130725A,15h20m08s,+00d38m
GRB130722A,17h22m41s,-02d59m
GRB130719A,05h56m09s,-11d35m
GRB130716A,11h58m18s,+63d03m
GRB130708A,14h29m15s,+15d46m
GRB130702A,15h12m36s,+16d35m
GRB130701A,23h48m52s,+36d06m
GRB130627B,12h07m44s,-55d44m
GRB130627A,12h17m47s,-37d05m
GRB130626A,18h12m31s,-09d32m
GRB130625A,22h53m04s,+82d11m
GRB130623A,01h22m53s,-77d47m
GRB130615A,18h19m23s,-68d10m
GRB130612A,17h19m13s,+16d42m
GRB130610B,11h45m26s,-32d11m
GRB130610A,14h57m40s,+28d11m
GRB130609B,03h35m01s,-40d09m
GRB130609A,10h10m42s,+24d06m
GRB130608A,01h38m19s,+41d30m
GRB130606B,14h34m18s,-22d08m
GRB130606A,16h37m37s,+29d47m
GRB130605A,08h58m06s,-33d29m
GRB130604A,16h40m19s,+68d13m
GRB130603B,11h28m50s,+17d03m
GRB130603A,05h47m49s,+82d56m
GRB130529A,01h37m02s,-64d08m
GRB130528A,09h15m39s,+87d17m
GRB130527A,20h37m07s,-24d44m
GRB130521B,18h46m34s,+22d43m
GRB130521A,05h50m14s,+14d27m
GRB130518B,21h26m13s,-20d09m
GRB130518A,23h43m14s,+47d38m
GRB130515A,18h53m41s,-54d17m
GRB130514B,09h50m26s,-18d58m
GRB130514A,19h45m06s,-07d57m
GRB130513A,09h38m59s,-05d14m
GRB130511A,13h06m33s,+18d42m
GRB130508A,20h21m15s,+34d57m
GRB130505A,09h08m14s,+17d29m
GRB130504C,06h06m52s,+03d51m
GRB130504B,23h11m49s,-05d44m
GRB130504A,18h09m27s,-16d21m
GRB130502B,04h26m36s,+71d05m
GRB130502A,09h14m19s,-00d09m
GRB130427B,20h59m34s,-22d32m
GRB130427A,11h32m33s,+27d41m
GRB130420B,12h12m29s,+54d23m
GRB130420A,13h04m24s,+59d25m
GRB130419A,23h41m05s,+09d59m
GRB130418A,09h56m10s,+13d39m
GRB130408A,08h57m36s,-32d22m
